Date,Symbol,Opening Price,Highest Price,Lowest Price,Closing Price,Volume of Trade,P/E Ratio,P/B Ratio
2021-11-11 00:00:00+05:30,TCS.NS,3275.2366359042385,3303.5185384423376,3233.8255979790124,3282.9541015625,1284514,25.131700999483275,11.703060026031919
2021-11-12 00:00:00+05:30,TCS.NS,3299.7066023869083,3326.200161605453,3280.601010502441,3318.576904296875,1747259,25.404401012760278,11.83004803311294
2021-11-15 00:00:00+05:30,TCS.NS,3320.4119981720887,3359.564340400814,3320.4119981720887,3344.223388671875,1809157,25.60073022025473,11.921472505344965
2021-11-16 00:00:00+05:30,TCS.NS,3358.9998204161816,3365.164463968266,3333.588502077365,3347.14111328125,2013204,25.623066013023426,11.931873596918768
2021-11-17 00:00:00+05:30,TCS.NS,3341.682370886932,3353.2115794481515,3300.082920257998,3314.6708984375,1632914,25.374499720106407,11.81612392098096
2021-11-18 00:00:00+05:30,TCS.NS,3308.318165618213,3313.6829609253323,3248.5076371599625,3271.189453125,2136598,25.041640152530046,11.661121460158062
2021-11-22 00:00:00+05:30,TCS.NS,3273.7304241016664,3309.071023436523,3237.8723706547707,3254.9072265625,3167936,24.91699629918472,11.603078652088435
2021-11-23 00:00:00+05:30,TCS.NS,3242.2960011890427,3276.130655159293,3207.28489729093,3260.413330078125,2153461,24.959146674409592,11.622706785153785
2021-11-24 00:00:00+05:30,TCS.NS,3267.894982709989,3287.5182562766154,3222.531126706168,3240.695556640625,2161746,24.808202990435774,11.552416955025203
2021-11-25 00:00:00+05:30,TCS.NS,3241.260746455981,3259.236993891206,3231.9904585661357,3243.14306640625,1849619,24.826939190126694,11.561141826837384
2021-11-26 00:00:00+05:30,TCS.NS,3223.4729161404584,3284.6483145489633,3211.1436285510517,3244.037353515625,1941251,24.833785145185832,11.564329777505517
2021-11-29 00:00:00+05:30,TCS.NS,3244.319423601772,3321.6829551658857,3206.0142596642304,3295.942138671875,2981745,25.23112714286056,11.749359722344762
2021-11-30 00:00:00+05:30,TCS.NS,3285.5892263222363,3354.0586093686247,3285.5892263222363,3321.494384765625,5588446,25.426734936581376,11.84044825437534
2021-12-01 00:00:00+05:30,TCS.NS,3327.0002921935666,3378.764087404499,3327.0002921935666,3367.281982421875,2102118,25.777248583188204,12.00367167670825
2021-12-02 00:00:00+05:30,TCS.NS,3378.011269962191,3433.3515213602445,3363.799892484069,3428.551513671875,3152938,26.246279672907256,12.222085026332698
2021-12-03 00:00:00+05:30,TCS.NS,3431.8925650228,3450.245183573464,3417.2106080474928,3426.24560546875,2486263,26.22862746282439,12.213864935134088
2021-12-06 00:00:00+05:30,TCS.NS,3426.2456073696467,3442.7630100294828,3314.765260066659,3328.31787109375,1849642,25.478970153056345,11.864772587769721
2021-12-07 00:00:00+05:30,TCS.NS,3352.882371419044,3386.2935501377456,3316.930106752869,3373.587890625,1484458,25.825521630750977,12.026150949928882
2021-12-08 00:00:00+05:30,TCS.NS,3389.116969204314,3431.892642841112,3389.116969204314,3413.492919921875,1428660,26.13100298493359,12.16840421901346
2021-12-09 00:00:00+05:30,TCS.NS,3397.5873232738427,3420.8810313766203,3356.1762866466825,3389.82275390625,1567957,25.949802908261887,12.084024917586383
2021-12-10 00:00:00+05:30,TCS.NS,3374.0581749213043,3427.704288162731,3364.7407840053065,3422.810302734375,1510718,26.2023295011435,12.201618783386538
2021-12-13 00:00:00+05:30,TCS.NS,3435.233954042732,3446.5278738916395,3389.7758806958013,3397.258056640625,1883864,26.006721707422685,12.110530251355959
2021-12-14 00:00:00+05:30,TCS.NS,3392.8818294849084,3421.1166297302752,3366.246955298367,3410.57568359375,1747007,26.108670930060093,12.158004868062461
2021-12-15 00:00:00+05:30,TCS.NS,3406.9987597231266,3409.8222393582564,3348.7879293353926,3360.270263671875,1603233,25.723572408113565,11.978676333222378
2021-12-16 00:00:00+05:30,TCS.NS,3371.234770488323,3396.1284039524057,3359.9408516592166,3370.8583984375,2072320,25.80462679658195,12.016420868446568
2021-12-17 00:00:00+05:30,TCS.NS,3390.528493243673,3436.504245638191,3363.423042540393,3373.446533203125,4333992,25.824439510090524,12.025647039626712
2021-12-20 00:00:00+05:30,TCS.NS,3377.822897108956,3393.8226154847857,3303.612346732094,3347.611572265625,2312310,25.6266674750488,11.933550686991794
2021-12-21 00:00:00+05:30,TCS.NS,3371.8464154472604,3426.951373410421,3356.5525671102587,3395.9873046875,2340989,25.996993835164204,12.106000280504846
2021-12-22 00:00:00+05:30,TCS.NS,3410.7636254776903,3422.810518675071,3394.0580365284,3417.116455078125,1224328,26.158741905214157,12.181321380852502
2021-12-23 00:00:00+05:30,TCS.NS,3433.35151804519,3454.5276170462907,3416.410638844309,3447.1865234375,1792861,26.38893457427467,12.288515025390256
2021-12-24 00:00:00+05:30,TCS.NS,3468.174255184522,3486.9974533130676,3430.339672901219,3454.90380859375,2209923,26.448012007913572,12.316025568829962
2021-12-27 00:00:00+05:30,TCS.NS,3454.9981315425243,3482.291769737766,3438.1514605666457,3478.621337890625,1534135,26.6295746604197,12.400573710669166
2021-12-28 00:00:00+05:30,TCS.NS,3491.7032545518127,3505.820653155122,3476.50361396573,3488.456298828125,1456218,26.7048633455418,12.435633335215991
2021-12-29 00:00:00+05:30,TCS.NS,3474.997670976908,3501.0677544784153,3468.1742616426045,3477.303466796875,1456923,26.619486081274403,12.395875769717328
2021-12-30 00:00:00+05:30,TCS.NS,3464.739460221014,3519.938402347673,3463.46880231001,3514.05615234375,1966475,26.900835584044632,12.526891577970098
2021-12-31 00:00:00+05:30,TCS.NS,3522.573369565493,3538.7612741196904,3511.7500305622016,3518.38525390625,1207141,26.93397576288946,12.542323939762976
2022-01-03 00:00:00+05:30,TCS.NS,3529.3501763452787,3604.6429801073114,3524.644376110152,3593.11376953125,2346158,27.506038195906378,12.808715816396099
2022-01-04 00:00:00+05:30,TCS.NS,3605.677762031494,3660.3119100612043,3587.4191222215713,3656.1708984375,2488606,27.988753719953305,13.0335015861112
2022-01-05 00:00:00+05:30,TCS.NS,3637.5829837532774,3642.2887832147953,3588.0778815079643,3633.771240234375,1733031,27.817279646592475,12.953651385223832
2022-01-06 00:00:00+05:30,TCS.NS,3587.7020017870755,3609.348682280544,3550.055600928869,3583.419677734375,1810293,27.43182789354953,12.774158361528636
2022-01-07 00:00:00+05:30,TCS.NS,3595.231150202332,3637.489141706859,3573.019682599828,3626.760009765625,2460591,27.76360720941304,12.928657782360768
2022-01-10 00:00:00+05:30,TCS.NS,3743.934578985249,3743.934578985249,3633.8188560739186,3651.559814453125,3937092,27.95345490663037,13.01706401464819
2022-01-11 00:00:00+05:30,TCS.NS,3629.112890243764,3694.0529289955325,3629.112890243764,3685.48828125,1906106,28.213184423562737,13.138012060594393
2022-01-12 00:00:00+05:30,TCS.NS,3694.053056106362,3697.8176961635404,3610.807498797082,3632.783447265625,3203744,27.809717884602506,12.950130105288462
2022-01-13 00:00:00+05:30,TCS.NS,3687.4642798311743,3692.1700790652617,3630.0535291753035,3668.546875,6684507,28.08349441169716,13.077619411737444
2022-01-14 00:00:00+05:30,TCS.NS,3649.677018865514,3742.9929312638437,3632.924326650321,3734.66357421875,3348123,28.58963158706844,13.313311923951325
2022-01-17 00:00:00+05:30,TCS.NS,3757.769207596556,3805.109598043741,3729.1580376267825,3782.662841796875,3442604,28.9570760299845,13.484419497281397
2022-01-18 00:00:00+05:30,TCS.NS,3796.592608089476,3803.8865986121264,3745.8170684062366,3755.79345703125,2389041,28.75138526396119,13.388635635233191
2022-01-19 00:00:00+05:30,TCS.NS,3782.5684022220717,3782.5684022220717,3686.8728157750274,3690.785400390625,3102539,28.25373497964193,13.156895207099023
2022-01-20 00:00:00+05:30,TCS.NS,3686.4021345771785,3695.8302730287824,3593.0635639062984,3607.724365234375,6176776,27.617885365033874,12.86079960229136
2022-01-21 00:00:00+05:30,TCS.NS,3589.2920462569905,3631.294446025614,3555.4451237605826,3614.276611328125,3112358,27.66804418072514,12.884157019717328
2022-01-24 00:00:00+05:30,TCS.NS,3620.4049833467657,3629.5030444233603,3526.2179770235452,3555.680908203125,3258414,27.219481805122292,12.675275320575375
2022-01-25 00:00:00+05:30,TCS.NS,3553.9366872475557,3591.5548665172328,3509.3415476166033,3554.313720703125,3330501,27.209015698561778,12.670401576720192
2022-01-27 00:00:00+05:30,TCS.NS,3517.638259961914,3519.9009209923474,3417.7943714037247,3440.563232421875,5718297,26.33823189483178,12.264904347346098
2022-01-28 00:00:00+05:30,TCS.NS,3437.4990363192296,3516.5068769912496,3437.4990363192296,3479.030029296875,3143862,26.63270327870225,12.402030611957304
2022-01-31 00:00:00+05:30,TCS.NS,3534.6087659961527,3543.0940897875544,3508.5870142975314,3522.587890625,2739393,26.966147826877442,12.55730548024925
2022-02-01 00:00:00+05:30,TCS.NS,3554.408024891919,3590.23494928075,3522.7293891501345,3583.30517578125,2105169,27.430951357125085,12.773750185480765
2022-02-02 00:00:00+05:30,TCS.NS,3608.997033030306,3643.03270498028,3583.305355698341,3635.6787109375,1984212,27.831881734191995,12.960451128213217
2022-02-03 00:00:00+05:30,TCS.NS,3630.7759343712023,3660.4745689940773,3597.824638182604,3605.8857421875,1960538,27.603810320657583,12.854245287117541
2022-02-04 00:00:00+05:30,TCS.NS,3597.1172538321484,3605.9796107824036,3553.4649322947967,3596.739990234375,2307366,27.533797674610543,12.82164255166057
2022-02-07 00:00:00+05:30,TCS.NS,3574.207320936838,3612.6741722204215,3541.3501660493857,3562.8935546875,1919149,27.274696124071806,12.700986930345678
2022-02-08 00:00:00+05:30,TCS.NS,3574.725408597817,3582.4092483495297,3508.209854569547,3529.3759765625,2946443,27.018112045950396,12.581503618490236
2022-02-09 00:00:00+05:30,TCS.NS,3535.5518033802427,3561.903403452273,3531.874921576389,3545.49853515625,1638721,27.14153360756526,12.638977242902492
2022-02-10 00:00:00+05:30,TCS.NS,3573.075719144145,3573.075719144145,3543.094194823223,3554.738037109375,2112459,27.21226392949074,12.671914177938104
2022-02-11 00:00:00+05:30,TCS.NS,3537.9086361538507,3537.9086361538507,3478.9827761246393,3483.649658203125,3851488,26.66806750519119,12.418498644319408
2022-02-14 00:00:00+05:30,TCS.NS,3511.038035654503,3576.327880973803,3497.8386445430197,3520.23046875,5951745,26.948101268850955,12.54890175334467
2022-02-15 00:00:00+05:30,TCS.NS,3569.4928420780816,3615.6907156284847,3533.6659197328713,3599.474365234375,3931683,27.554729887731572,12.831390039370937
2022-02-16 00:00:00+05:30,TCS.NS,3624.1758196615824,3633.698329989887,3588.348899488029,3595.04296875,3256906,27.520806619842304,12.815593017100323
2022-02-17 00:00:00+05:30,TCS.NS,3606.262006790544,3615.6901427560097,3562.892581349403,3567.795166015625,3134372,27.31221898503885,12.718460172377913
2022-02-18 00:00:00+05:30,TCS.NS,3553.464705626464,3597.729761190312,3542.716721910331,3576.940673828125,3688883,27.38222976213829,12.751062037523482
2022-02-21 00:00:00+05:30,TCS.NS,3592.120685053597,3608.902817229574,3493.6438267445865,3506.70166015625,7465922,26.844535406539464,12.50067431727482
2022-02-22 00:00:00+05:30,TCS.NS,3441.2701752647095,3458.1464492580512,3365.84507553288,3381.30712890625,5408531,25.88461401597068,12.05366845585981
2022-02-23 00:00:00+05:30,TCS.NS,3404.5002723444195,3415.719663308188,3352.315441952563,3359.99951171875,2426203,25.721499745225064,11.977711157876772
2022-02-24 00:00:00+05:30,TCS.NS,3275.335230964868,3284.6220392210453,3197.176056874473,3207.12255859375,5039136,24.55119466120914,11.432736082481346
2022-02-25 00:00:00+05:30,TCS.NS,3269.677713155933,3328.1321590082016,3264.0208312992613,3319.4111328125,2549723,25.41078720670979,11.833021887176004
2022-02-28 00:00:00+05:30,TCS.NS,3290.4198913820806,3359.952403413435,3258.269851374574,3350.948486328125,3288942,25.65221225084686,11.945446103244052
2022-03-02 00:00:00+05:30,TCS.NS,3349.3458461015225,3367.6835274989603,3305.505006736647,3343.35888671875,2761341,25.594112276802804,11.918390732667964
2022-03-03 00:00:00+05:30,TCS.NS,3359.1040823148473,3373.9533989704264,3328.2269318088015,3341.708984375,1928039,25.58148192892138,11.912509168208441
2022-03-04 00:00:00+05:30,TCS.NS,3301.262035685325,3357.5479652400813,3287.638424312708,3322.805419921875,2370257,25.43677118519387,11.845121826607901
2022-03-07 00:00:00+05:30,TCS.NS,3252.7074641922636,3345.1032124504786,3235.312596397846,3285.611572265625,3054130,25.152044494110275,11.712533365650431
2022-03-08 00:00:00+05:30,TCS.NS,3262.1355385867923,3402.614785768709,3262.1355385867923,3394.082275390625,3300992,25.982410437040688,12.099209240629488
2022-03-09 00:00:00+05:30,TCS.NS,3398.843483456358,3445.041356047027,3391.34816036778,3424.865234375,2719654,26.21806043309347,12.20894419446316
2022-03-10 00:00:00+05:30,TCS.NS,3473.3262964663304,3473.3262964663304,3408.2721394478244,3413.8818359375,2005441,26.13398021846054,12.16979062507798
2022-03-11 00:00:00+05:30,TCS.NS,3397.1935091518058,3431.700583096754,3387.3883386146517,3393.327880859375,1623423,25.976635388956403,12.096519978395111
2022-03-14 00:00:00+05:30,TCS.NS,3375.2729053900457,3439.714311172142,3375.2729053900457,3434.670166015625,1765688,26.29311923766076,12.243896770707451
2022-03-15 00:00:00+05:30,TCS.NS,3449.7551911897153,3449.7551911897153,3380.3640135560127,3388.3779296875,3651133,25.938742476364542,12.078874414705137
2022-03-16 00:00:00+05:30,TCS.NS,3432.313523710804,3458.2409023406753,3409.4502898280994,3446.832763671875,3090475,26.386226469202136,12.287253944167727
2022-03-17 00:00:00+05:30,TCS.NS,3485.2051928109418,3497.8388042370752,3450.9810096878377,3462.718994140625,3600452,26.507838889540114,12.343885107142157
2022-03-21 00:00:00+05:30,TCS.NS,3484.6397762148586,3501.563237750202,3408.2718590413183,3419.302734375,2413831,26.17547833097298,12.189115019463783
2022-03-22 00:00:00+05:30,TCS.NS,3431.842186315789,3498.781965224696,3417.6999795040483,3489.306640625,2907611,26.71137289003292,12.438664629831633
2022-03-23 00:00:00+05:30,TCS.NS,3495.9532742031265,3516.5066593375577,3478.982627240975,3500.1015625,1596195,26.79401027711858,12.47714631881392
2022-03-24 00:00:00+05:30,TCS.NS,3488.4107997546257,3543.2825127852097,3483.6967311063086,3535.41015625,1879046,27.064304954834267,12.603014235119652
2022-03-25 00:00:00+05:30,TCS.NS,3544.8851023363845,3563.364342739212,3462.011871024841,3495.4345703125,1690133,26.758283474795224,12.46050944603969
2022-03-28 00:00:00+05:30,TCS.NS,3483.6969651615136,3500.6676134356426,3451.829812922041,3495.670654296875,1760990,26.76009074712451,12.461351037166112
2022-03-29 00:00:00+05:30,TCS.NS,3483.460916696679,3509.1525900115134,3479.925365323078,3493.454833984375,2689063,26.74312817870608,12.453452090875103
2022-03-30 00:00:00+05:30,TCS.NS,3524.2380855706156,3524.2380855706156,3494.2565598341034,3518.156982421875,1583455,26.932228296883373,12.541510198601442
2022-03-31 00:00:00+05:30,TCS.NS,3526.1233585974387,3539.935487703179,3507.455600663155,3526.076171875,2168110,26.992851350187554,12.56974048957119
2022-04-01 00:00:00+05:30,TCS.NS,3533.666021470735,3547.8082280668027,3514.856932733794,3543.80126953125,1387014,27.128540683849423,12.632926838030842
2022-04-04 00:00:00+05:30,TCS.NS,3546.865449953423,3563.836098039325,3523.3894788395846,3554.738037109375,1472994,27.21226392949074,12.671914177938104
2022-04-05 00:00:00+05:30,TCS.NS,3556.293520923372,3616.2565684379574,3556.293520923372,3596.64599609375,2314947,27.533078129784506,12.821307481770527
2022-04-06 00:00:00+05:30,TCS.NS,3591.460706477698,3591.460706477698,3517.7796688313056,3540.595947265625,2051729,27.104003270807816,12.621500519624645
2022-04-07 00:00:00+05:30,TCS.NS,3531.3087542522408,3531.3087542522408,3468.6116424760366,3473.467041015625,2494829,26.59011743868656,12.382199696335123
2022-04-08 00:00:00+05:30,TCS.NS,3478.982923900776,3493.125130908503,3434.199268376308,3474.881591796875,2296773,26.600946121081492,12.387242280602432
2022-04-11 00:00:00+05:30,TCS.NS,3478.9826857239555,3500.054664794506,3447.021392146275,3485.0166015625,2291660,26.678531742804104,12.42337151786319
2022-04-12 00:00:00+05:30,TCS.NS,3472.3831358764805,3525.180707315276,3439.7147306203838,3480.02001953125,4483476,26.640281861220625,12.405559724695298
2022-04-13 00:00:00+05:30,TCS.NS,3495.010671931251,3497.6977832678144,3446.5029491322102,3452.536865234375,1621672,26.429892560930682,12.307587899780675
2022-04-18 00:00:00+05:30,TCS.NS,3403.557482572184,3403.557482572184,3321.06128320236,3326.2939453125,3820792,25.463476577451583,11.857557706241243
2022-04-19 00:00:00+05:30,TCS.NS,3346.9888267284314,3359.7639991310675,3242.4778300249877,3273.35498046875,3170014,25.058217717742863,11.668841122300112
2022-04-20 00:00:00+05:30,TCS.NS,3299.848276982093,3365.0437587256656,3280.992001113624,3353.400146484375,2640370,25.670980222646982,11.95418577035008
2022-04-21 00:00:00+05:30,TCS.NS,3375.2733151897837,3435.6133968021154,3363.3937695506984,3421.14111328125,2280996,26.18955150640167,12.1956684643262
2022-04-22 00:00:00+05:30,TCS.NS,3376.3104671779706,3410.157389282493,3367.2593629589232,3405.9619140625,1581465,26.073351558313558,12.141557723174023
2022-04-25 00:00:00+05:30,TCS.NS,3354.531368960673,3379.0445268001827,3331.055398332183,3345.291748046875,1960694,25.60890873495273,11.92528098804323
2022-04-26 00:00:00+05:30,TCS.NS,3370.7005271917224,3382.7214026502647,3316.9601427888265,3343.50048828125,1943469,25.595196266410856,11.918895513281536
2022-04-27 00:00:00+05:30,TCS.NS,3343.2173735275514,3364.3834950144824,3305.7877157480793,3357.548095703125,1727648,25.702733642372543,11.968972361082146
2022-04-28 00:00:00+05:30,TCS.NS,3382.815513047795,3398.2775654616485,3335.722015361006,3379.3271484375,1703660,25.869456850933936,12.046610230383822
2022-04-29 00:00:00+05:30,TCS.NS,3391.301513710444,3416.0503779681308,3334.591351111641,3343.8779296875,2051115,25.5980856594006,11.920241014710127
2022-05-02 00:00:00+05:30,TCS.NS,3318.6099334079067,3345.0559043889593,3293.012632885517,3339.8232421875,1324161,25.567046177658273,11.905786882933898
2022-05-04 00:00:00+05:30,TCS.NS,3336.1464106013477,3342.6989200420444,3267.1324910427084,3280.756103515625,2305825,25.114874864239646,11.695224612473307
2022-05-05 00:00:00+05:30,TCS.NS,3311.2562157390917,3330.960930758537,3286.0359482899576,3312.481689453125,1612262,25.357740866976386,11.808319838632848
2022-05-06 00:00:00+05:30,TCS.NS,3261.1926805467738,3275.8062933101373,3228.665606976706,3236.302490234375,2010812,24.77457314731972,11.536756571644814
2022-05-09 00:00:00+05:30,TCS.NS,3203.680787293434,3258.363979071839,3155.455961098435,3248.08740234375,2481830,24.864789116923756,11.578767373365094
2022-05-10 00:00:00+05:30,TCS.NS,3237.6222208969466,3266.6609286694124,3226.3084565839695,3242.1005859375,1622685,24.8189587838743,11.557425597147807
2022-05-11 00:00:00+05:30,TCS.NS,3238.56508637369,3251.2458847080907,3188.7372898435674,3216.88037109375,1841769,24.625892758889613,11.467520688624916
2022-05-12 00:00:00+05:30,TCS.NS,3184.825017064382,3252.4247205026536,3158.520604110555,3213.72216796875,2807195,24.601716052734826,11.45626234031944
2022-05-13 00:00:00+05:30,TCS.NS,3238.5653955015323,3243.185091039176,3188.737594215242,3219.61474609375,2187823,24.64682497201064,11.477268176335283
2022-05-16 00:00:00+05:30,TCS.NS,3219.708796805639,3233.8510023552976,3174.076705637058,3183.693359375,1195813,24.371839235818726,11.349215778408746
2022-05-17 00:00:00+05:30,TCS.NS,3177.2821312352726,3268.735059048276,3158.8028908632637,3254.2158203125,1754076,24.91170343958126,11.600613930195957
2022-05-18 00:00:00+05:30,TCS.NS,3266.8494636063197,3295.133874546634,3246.1547489708146,3251.575927734375,1866781,24.891494509181467,11.591203252998438
2022-05-19 00:00:00+05:30,TCS.NS,3202.738424529339,3210.280934802002,3045.2885225875084,3075.411376953125,4642963,23.54291798938318,10.963212654143986
2022-05-20 00:00:00+05:30,TCS.NS,3120.7136253451927,3124.3905070314936,3083.0482607065383,3104.685791015625,3065125,23.767019758214996,11.067569953820302
2022-05-23 00:00:00+05:30,TCS.NS,3115.8111001324096,3147.960912685986,3080.1726923667165,3131.791748046875,2293690,23.974521534462795,11.164197147617736
2022-05-24 00:00:00+05:30,TCS.NS,3125.568735347213,3134.714212350855,3088.280637776438,3099.971435546875,1711510,23.730930380057224,11.050764240633946
2022-05-25 00:00:00+05:30,TCS.NS,3125.4569385219056,3125.4569385219056,2993.712837572452,3006.621337890625,3548046,23.0163158377909,10.717990232070415
2022-05-26 00:00:00+05:30,TCS.NS,3028.7835921185915,3076.716394187532,3018.8648705116298,3062.906005859375,2813186,23.447186755411277,10.918633563474303
2022-05-27 00:00:00+05:30,TCS.NS,3087.822172239767,3112.215655654584,3065.0422222686443,3095.510498046875,3103153,23.696780969508346,11.034861910683603
2022-05-30 00:00:00+05:30,TCS.NS,3129.395596781604,3214.440835203403,3119.287086772297,3203.667724609375,2094624,24.52474718372024,11.420420305821578
2022-05-31 00:00:00+05:30,TCS.NS,3183.6403571601004,3211.4034217690682,3155.9723017031897,3193.322021484375,4840965,24.445548660218748,11.38353998982028
2022-06-01 00:00:00+05:30,TCS.NS,3215.7696075624217,3215.7696075624217,3170.257212148426,3184.636962890625,1493835,24.37906271829308,11.352579531980226
2022-06-02 00:00:00+05:30,TCS.NS,3184.4472846683966,3257.5329600542286,3176.1895988603414,3248.990478515625,2657939,24.871702354096495,11.581986655243725
2022-06-03 00:00:00+05:30,TCS.NS,3283.539482496432,3300.5296655868847,3256.7730907258274,3265.26806640625,1913622,24.99631069743742,11.6400129273967
